bizonylat;datum;tipus;vrg_id;daniella_cikkszam;megnevezes_a_bizonylaton;mennyiseg;egyseg_kiszereles;netto_egysegar_huf;brutto_ertek_huf;hivatkozas;forras_fajl
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0059;KAB1800011;H05RR-F 3x1,5 (100) (GT);100,00 fm;100 fm;358,82;45570;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0107;OBO2250209;OBO bilincs 2037 12-20mm 2250209;100,00 db;1 db;94,8;12040;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0163;STI1123;TS-sín 0.5 fm-es 35mm perforált, 1mm vastag, (STI1123) Stilo;1,00 db;1 db;339,79;432;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0140;SCHEZ9F57213;2C 13A 6kA Schneider EASY9 PRO EZ9F57213 kismegszakító;5,00 db;6 db;2464;15646;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0192;VEZ1500067;H07V-K 1x10 kék (0);2,00 fm;1 fm;567,49;1441;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0190;VEZ1500065;H07V-K 1x10 fekete (0);3,00 fm;1 fm;566,72;2159;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0194;VEZ1500073;H07V-K 1x10 z/s (0);3,00 fm;1 fm;572,88;2183;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0040;GEWGW50417;Tömszelence M25 +anya IP66 szürke GW50417 Gewiss;5,00 db;1 db;546,94;3473;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0219;WEI1560730000;Fővezeték sorkapocs 2x 25/2x16mm2 szürke WPD101, 1560730000 Weidmüller;3,00 db;1 db;1004,4;3827;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0218;WEI1560670000;Fővezeték sorkapocs 2x 25/2x16mm2 kék WPD101, 1560670000 Weidmüller;1,00 db;1 db;1004,4;1276;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0217;WEI1560650000;Fővezeték sorkapocs 2x 25/2x16mm2 zöld WPD101, 1560650000 Weidmüller;1,00 db;1 db;1004,4;1276;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0176;TRAE22I;Érv.h. iker 2* 6,0/14 sárga E22I Tracon;20,00 db;100 db;78,85;2003;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0178;UNI012673;MIK 40/60 kábelcsatorna fedéllel fehér, UV-álló, lángálló 012673 Univolt;2,00 fm;2 fm;1019,16;2589;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0119;SCHEPH2970121;ASFORA fehér 2P+F csatlakozóaljzat, keret nélkül! EPH2970121 (120 db-os);3,00 db;120 db;854,4;3255;;Rendelés visszaigazolás (Hefler Tamás) (11).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0025;GEWDX15025R;Gégecső lépésálló 25/75 fekete (SGN) 750N FK15 DX15025R Gewiss;75,00 fm;75 fm;183,68;17496;;Rendelés visszaigazolás (Hefler Tamás) (12).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0149;SCHEZ9R49440;FI relé 40/4-0,03 EASY9 PRO, A osztály!!! EZ9R49440 Schneider;1,00 db;3 db;14000;17780;;Rendelés visszaigazolás (Hefler Tamás) (12).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0059;KAB1800011;H05RR-F 3x1,5 (100) (GT);100,00 fm;100 fm;358,82;45570;;Rendelés visszaigazolás (Hefler Tamás) (12).eml
13509/26VRD1;2026.08.24;visszaigazolas;VRG-0107;OBO2250209;OBO bilincs 2037 12-20mm 2250209;100,00 db;1 db;94,8;12040;;Rendelés visszaigazolás (Hefler Tamás) (12).eml
